rating,movie,year,country,rating_ball
50,Хороший; плохой; злой ,1966,Италия,"8,524"
86,Укрощение строптивого ,1980,Италия,"8,384"
122,Могила светлячков ,1988,Япония,"8,177"
145,На несколько долларов больше ,1965,Италия,"8,165"
149,Блеф ,1976,Италия,"8,232"
150,Ромео и Джульетта ,1968,Великобритания,"8,21"
156,Семь самураев ,1954,Япония,"8,152"
165,Ганди ,1982,Великобритания,"8,06"
176,Мой сосед Тоторо ,1988,Япония,"8,188"
185,Знахарь ,1981,Польша,"8,16"
190,Новый кинотеатр «Парадизо» ,1988,Италия,"7,958"
218,Медведь ,1988,Франция,"7,993"
248,Профессионал ,1981,Франция,"8,112"
"156,9230769",,1954,,"106,315"
