"Base Salary","beauty","A/90min","G/90min","age","designated","Club.y","season","continent","bonus"
5600000,0.738014352238583,0.57,0.49,30,1,"TOR",2018,"Europe",1515556
5610000,0.56995441402481,0.26,0.72,34,1,"NYC",2018,"Europe",0
5e+06,0.786695661498635,0.1,0.72,30,1,"TOR",2018,"North America",0
1275000,0.234170055836944,0.22,0.33,30,1,"CIN",2018,"Africa",658333
1270008,0.0949704836437672,0.19,0.96,24,1,"ATL",2018,"South America",117310
1200000,0.33456354230514,0,0.52,28,1,"ORL",2018,"Europe",183333
1250000,0.439536357633829,0,0.07,25,1,"CLB",2018,"Africa",0
1e+06,0.431785438586079,0.31,0.41,28,1,"LAFC",2018,"South America",52000
825000,0.264961633662317,0.1,0.47,26,0,"LA",2018,"Europe",1e+05
775000,0.709286872749228,0,0.23,28,0,"COL",2018,"Europe",132500
6e+05,0.564619281502778,0.17,0.23,31,0,"NYC",2018,"Europe",216667
650000,0.780636385054596,0,0.36,24,0,"COL",2018,"Europe",32500
650340,0.582934698055482,0.37,0.41,25,1,"HOU",2018,"North America",0
575000,0.462511130954484,0.11,0.49,25,0,"LAFC",2018,"North America",66250
6e+05,0.724943313339638,0.06,0.45,28,0,"POR",2018,"Europe",8333
5e+05,0.331428520874877,0,0.3,23,1,"DAL",2018,"South America",85000
525000,0.959009244995541,0.12,0.16,29,0,"CHI",2018,"North America",0
465000,0.166235309486224,0.14,0.43,24,0,"SJ",2018,"Europe",53000
3e+05,0.207871653967209,0.13,0,32,0,"CHI",2018,"South America",53313
350000,0.377686860455866,0.25,0.35,32,0,"SEA",2018,"North America",1667
250000,0.136251561712449,0.14,0.14,23,0,"VAN",2018,"South America",45203
275500,0.456349782848754,0.2,0.1,26,0,"DC",2018,"North America",13667
264328,0.929274970350998,0.03,0.65,25,1,"HOU",2018,"South America",0
215000,0.207090687042956,0.14,0.39,30,0,"NE",2018,"North America",45000
240000,0.311303974012541,0.48,0.24,32,0,"HOU",2018,"North America",12500
249996,0.289101493256438,0.35,0.18,30,0,"TOR",2018,"North America",0
190008,0.64577499309398,0,0.45,28,0,"TOR",2018,"North America",13167
2e+05,0.660347814091676,0,0.41,29,0,"MTL",2018,"South America",0
135000,0.727551522344767,0.19,0.19,29,0,"MIN",2018,"Africa",51000
150000,0.189381845014961,0.19,0.37,26,0,"SKC",2018,"North America",6250
140000,0.4834764794199,0,0.31,26,0,"MTL",2018,"North America",15000
150000,0.245751766620161,0,0.44,31,0,"CHI",2018,"North America",0
135000,0.832190427043239,0.21,0.41,28,0,"PHI",2018,"North America",13667
105000,0.813642397595939,0,0.31,30,0,"ORL",2018,"North America",17500
102245,0.787853324668552,0.33,0.13,28,0,"SKC",2018,"North America",17500
105000,0.718807075878137,0,0,30,0,"COL",2018,"North America",0
85000,0.207276229035101,0,0,26,0,"TOR",2018,"Europe",16375
72930,0.145750113515525,0.1,0.21,26,0,"CLB",2018,"North America",27500
75000,0.840171105625008,0.3,0.25,26,0,"LAFC",2018,"Africa",9375
67500,0.259328320478577,1.05,0,19,0,"DC",2018,"South America",4476
67500,0.237016529521277,0.06,0.63,30,0,"PHI",2018,"North America",3724
67500,0.730586849731773,0,0,25,0,"RBNY",2018,"North America",2422
67500,0.328858207153173,0,0,28,0,"DC",2018,"North America",2000
68906,0.676172803401322,0.08,0.17,29,0,"COL",2018,"North America",0
68254,0.592389734630648,0,0,23,0,"SKC",2018,"North America",0
67500,0.42689701821847,0,0.35,28,0,"NE",2018,"North America",0
67500,0.551666685987449,0,0,20,0,"LA",2018,"North America",0
54500,0.539154421651085,0,0,21,0,"DAL",2018,"South America",0
54500,0.63727844122932,0.1,0.1,26,0,"CHI",2018,"other",0
5600000,0.738014352238583,0.26,0.7,30,1,"TOR",2017,"Europe",1515556
5610000,0.56995441402481,0.32,0.77,34,1,"NYC",2017,"Europe",0
4875000,0.786695661498635,0.25,0.62,30,1,"TOR",2017,"North America",0
1400000,0.713265271922306,0.22,0.47,27,1,"VAN",2017,"South America",4e+05
1190004,0.234170055836944,0.14,0.48,30,1,"CIN",2017,"Africa",546250
924000,0.0949704836437672,0.06,1.12,24,1,"ATL",2017,"South America",117310
750000,0.439536357633829,0.33,0.58,25,1,"CLB",2017,"Africa",70938
550000,0.33456354230514,0.2,0.36,28,1,"ORL",2017,"Europe",118750
425004,0.166235309486224,0.24,0.24,24,0,"SJ",2017,"Europe",78125
450000,0.264961633662317,0.09,0.57,26,0,"CLB",2017,"Europe",32500
423000,0.582934698055482,0.22,0.55,25,1,"HOU",2017,"North America",0
350004,0.462511130954484,0.11,0.53,25,0,"LAFC",2017,"North America",42500
3e+05,0.331428520874877,0.09,0.19,23,1,"DAL",2017,"South America",85000
275000,0.207871653967209,0.17,0.29,32,0,"CHI",2017,"South America",53312
325000,0.377686860455866,0.1,0.54,32,0,"SEA",2017,"North America",1667
3e+05,0.959009244995541,0.16,0.52,29,0,"CHI",2017,"North America",0
256500,0.456349782848754,0,0,26,0,"DC",2017,"North America",13667
215000,0.207090687042956,0.07,0.49,30,0,"NE",2017,"North America",45000
225000,0.330736496938803,0.05,0.15,23,0,"SEA",2017,"North America",12500
215746,0.929274970350998,0.22,0.44,25,1,"HOU",2017,"South America",0
200004,0.311303974012541,0.21,0.49,32,0,"HOU",2017,"North America",12500
180000,0.64577499309398,0.09,0.63,28,0,"TOR",2017,"North America",13167
180000,0.245751766620161,0.44,0.33,31,0,"COL",2017,"North America",0
125000,0.727551522344767,0.19,0.52,29,0,"MIN",2017,"Africa",51000
165300,0.455556677914391,0,1.64,31,0,"ATL",2017,"North America",7250
130000,0.559363738916665,0.2,0.33,26,0,"NYC",2017,"Europe",35500
114125,0.289101493256438,0,0.42,30,0,"TOR",2017,"North America",30000
125000,0.189381845014961,0.34,0.52,26,0,"SKC",2017,"North America",6250
95000,0.813642397595939,0,0.24,30,0,"ORL",2017,"North America",17500
92950,0.787853324668552,0,0.18,28,0,"NYC",2017,"North America",17500
1e+05,0.718807075878137,0.24,0.24,30,0,"COL",2017,"North America",7500
