object_level;object_name;okato;oktmo;gender;education_level;year;study_area;count_graduate;percent_employed;average_salary_fact_avg;average_salary_fact_med;average_salary_norm_avg;average_salary_norm_med;average_age;percent_combine_work_and_study
Страна;Российская Федерация;00000000;00000000;Всего;СПО: специалисты среднего звена;2016;Гуманитарные науки;6689;84.069;69133.223;57500.0;62636.055;54522.5;30.595;52.399
Страна;Российская Федерация;00000000;00000000;Всего;СПО: специалисты среднего звена;2016;Здравоохранение и медицинские науки;35393;91.286;61775.676;53833.33;56711.937;52833.33;32.266;43.305
Страна;Российская Федерация;00000000;00000000;Всего;СПО: специалисты среднего звена;2016;Инженерное дело, технологии и технические науки;129340;88.368;89106.685;77416.67;81872.57;72545.454;31.218;52.923
Страна;Российская Федерация;00000000;00000000;Всего;СПО: специалисты среднего звена;2016;Искусство и культура;13132;85.98;64637.318;53666.67;57749.765;51120.0;31.036;44.334
Страна;Российская Федерация;00000000;00000000;Всего;СПО: специалисты среднего звена;2016;Математические и естественные науки;202;86.034;81716.346;75833.335;65788.259;60057.916;31.693;48.515
Страна;Российская Федерация;00000000;00000000;Всего;СПО: специалисты среднего звена;2016;Науки об обществе;87715;82.859;61728.555;50583.33;54541.759;46507.085;30.309;37.077
Страна;Российская Федерация;00000000;00000000;Всего;СПО: специалисты среднего звена;2016;Оборона и безопасность государства. Военные науки;1;0.0;;;;;29.0;
Страна;Российская Федерация;00000000;00000000;Всего;СПО: специалисты среднего звена;2016;Образование и педагогические науки;16883;90.268;58022.586;51500.0;54188.997;50521.822;34.104;66.89
Страна;Российская Федерация;00000000;00000000;Всего;СПО: специалисты среднего звена;2016;Сельское хозяйство и сельскохозяйственные науки;11319;85.98;70056.73;59916.67;66848.819;57983.331;32.075;54.201
Страна;Российская Федерация;00000000;00000000;Мужской;СПО: специалисты среднего звена;2016;Гуманитарные науки;2684;80.293;79057.113;69250.0;75351.59;66199.163;30.895;62.37
Страна;Российская Федерация;00000000;00000000;Мужской;СПО: специалисты среднего звена;2016;Здравоохранение и медицинские науки;4848;87.211;82854.974;72431.82;73237.87;67780.0;31.37;39.748
Страна;Российская Федерация;00000000;00000000;Мужской;СПО: специалисты среднего звена;2016;Инженерное дело, технологии и технические науки;97020;88.131;99066.313;88250.0;90885.986;82583.33;31.126;53.489
Страна;Российская Федерация;00000000;00000000;Мужской;СПО: специалисты среднего звена;2016;Искусство и культура;2853;87.397;82919.867;70583.33;73228.099;65278.33;30.774;46.022
Страна;Российская Федерация;00000000;00000000;Мужской;СПО: специалисты среднего звена;2016;Математические и естественные науки;107;79.57;94859.392;82888.89;76558.918;66560.0;31.093;41.121
Страна;Российская Федерация;00000000;00000000;Мужской;СПО: специалисты среднего звена;2016;Науки об обществе;22050;78.072;82449.474;69583.33;72136.721;62419.527;30.513;35.583
