TV,Sales
284.3,15.0
184.9,15.5
112.9,11.9
23.8,9.2
290.7,12.8
19.4,6.6
293.6,20.7
18.7,6.7
134.3,11.2
25.6,9.5
100.4,10.7
80.2,8.8
188.4,14.9
177.0,17.1
125.7,15.9
209.6,15.9
142.9,15.0
184.9,20.7
222.4,11.7
241.7,21.8
17.2,9.3
120.5,14.2
89.7,10.6
191.1,17.3
75.5,9.9
193.2,15.2
85.7,13.3
266.9,25.4
39.5,10.8
261.3,24.2
13.2,5.6
193.7,19.2
296.4,23.8
265.6,17.4
214.7,17.4
149.7,17.3
131.7,12.9
57.5,11.8
240.1,15.9
141.3,15.5
180.8,12.9
97.2,9.6
220.5,20.1
140.3,10.3
255.4,19.8
96.2,11.4
66.1,8.6
239.3,15.7
175.7,14.1
240.1,13.2
17.9,8.0
230.1,22.1
283.6,25.5
171.3,19.0
199.1,18.3
123.1,15.2
131.1,18.0
25.1,8.5
163.5,18.0
248.8,18.9
202.5,16.6
13.1,5.3
4.1,3.2
93.9,15.3
262.9,12.0
228.3,15.5
253.8,17.6
243.2,25.4
239.8,12.3
228.0,21.5
215.4,17.1
239.9,23.2
107.4,11.5
187.8,15.6
206.9,12.9
43.0,9.6
151.5,18.5
137.9,19.2
182.6,21.2
219.8,19.6
156.6,10.5
276.7,11.8
205.0,22.6
66.9,9.7
76.4,11.8
95.7,9.5
120.2,13.2
225.8,13.4
28.6,7.3
68.4,13.6
248.4,20.2
218.5,12.2
109.8,16.7
8.6,4.8
97.5,9.7
210.7,18.4
164.5,14.5
265.2,12.7
281.4,24.4
26.8,8.8
276.9,27.0
36.9,10.8
206.8,12.2
287.6,26.2
102.7,14.0
262.7,20.2
90.4,8.7
199.8,11.4
94.2,9.7
210.8,23.8
227.2,14.8
88.3,12.9
237.4,12.5
136.2,13.2
172.5,14.4
17.2,5.9
59.6,9.7
74.7,14.7
149.8,10.1
166.8,19.6
44.5,10.4
216.4,22.6
44.7,10.1
0.7,1.6
121.0,11.6
187.9,14.7
135.2,17.2
139.2,12.2
110.7,16.0
213.4,17.0
18.8,7.0
232.1,13.4
218.4,18.0
286.0,15.9
109.8,12.4
25.0,7.2
204.1,19.0
217.7,19.4
165.6,12.6
280.2,14.8
