Subject1,Subject2,Subject3,Subject4,Subject5,Subject6,Subject7,Subject8,Subject9,Subject10
3,5,4,4,3,3,4,5,5,4
5,5,4,5,4,4,5,3,4,4
3,3,4,5,3,3,3,5,3,5
3,5,4,3,3,4,4,5,3,4
5,4,5,5,4,5,3,5,4,4
3,3,3,5,3,3,4,3,5,3
4,3,3,5,3,5,4,3,3,4
5,5,4,5,4,3,5,5,5,5
3,3,4,5,5,5,5,5,3,4
3,5,4,3,5,4,5,5,3,4
3,4,5,4,5,5,3,3,3,3
3,3,4,4,4,4,4,3,5,5
5,3,3,3,5,5,5,4,3,5
3,3,3,3,4,4,5,3,4,5
4,4,3,5,4,5,5,3,3,3
4,5,4,4,4,5,3,4,4,3
5,3,3,4,5,3,3,4,5,4
4,3,4,5,3,3,4,3,4,5
3,5,4,3,4,4,4,5,5,5
5,5,3,3,5,3,5,4,3,4
5,5,3,4,3,5,5,3,4,5
4,3,3,4,3,5,5,5,3,4
3,4,3,4,5,3,3,5,5,3
3,5,3,4,4,4,3,3,3,5
3,3,5,4,5,4,3,4,5,5
3,4,5,3,4,4,5,5,4,4
4,3,5,4,3,3,5,5,4,4
5,3,5,3,5,4,4,4,5,4
4,3,5,5,3,4,4,4,5,4
4,4,3,3,3,5,3,4,4,4
5,3,3,3,4,4,3,3,5,3
4,3,3,4,4,4,3,4,5,5
5,5,4,3,4,5,4,3,3,4
4,3,5,3,5,3,3,4,5,5
3,3,5,3,5,3,4,3,5,5
4,5,4,5,5,5,4,3,5,5
3,3,3,5,5,4,3,5,5,4
5,3,3,5,3,3,5,4,3,5
5,4,5,3,3,5,5,5,3,4
4,3,3,3,4,3,3,3,4,4
3,5,3,5,5,5,5,3,4,4
5,4,3,3,3,4,5,3,3,4
4,3,3,5,4,3,4,3,3,5
3,4,5,4,5,3,4,4,5,3
5,5,5,5,5,4,3,5,5,3
5,3,5,5,4,5,4,3,3,5
3,5,4,5,5,4,4,3,5,4
5,5,4,5,5,4,5,3,4,5
5,3,5,3,4,3,4,5,4,5
4,4,5,5,4,3,4,5,5,5
5,4,4,5,4,3,4,3,3,3
5,5,4,3,4,4,3,3,4,3
5,4,5,4,3,5,4,5,3,5
4,3,5,4,4,4,4,4,4,4
4,4,5,3,3,3,3,5,5,3
4,4,4,5,5,5,3,3,4,5
5,5,5,3,4,4,3,4,4,4
4,4,4,4,5,3,5,3,4,3
5,4,4,5,4,4,4,4,5,4
3,5,4,4,3,4,3,4,5,4
3,3,3,5,5,5,3,5,3,5
3,5,5,5,4,4,4,3,3,3
3,3,4,5,4,3,4,5,4,4
3,4,4,4,5,5,3,4,4,4
3,3,3,3,5,3,3,4,5,4
4,3,4,4,4,4,3,3,4,3
5,3,5,5,3,5,5,4,5,4
5,4,5,4,3,3,3,4,4,3
3,5,4,4,4,5,4,4,5,5
5,3,5,4,4,4,5,4,4,5
5,4,4,3,4,3,3,3,5,5
5,5,4,5,5,5,3,3,5,4
4,4,4,3,4,4,3,5,4,4
5,4,4,4,3,4,4,3,5,3
4,4,4,3,3,3,4,5,5,3
4,5,4,5,4,4,3,4,3,4
4,4,3,4,4,3,5,3,5,4
5,5,4,5,4,3,4,5,5,3
3,3,3,5,4,4,4,4,3,5
3,3,3,5,3,3,3,3,4,5
5,4,4,4,3,5,3,5,3,4
5,5,3,5,3,4,4,4,5,5
3,3,4,3,5,5,3,4,5,5
3,5,4,3,3,4,4,5,5,5
5,4,4,3,5,5,3,4,4,4
4,3,4,4,4,5,3,5,4,4
3,3,5,5,4,5,3,5,4,5
4,3,5,5,4,5,4,3,4,3
4,5,4,3,5,3,5,5,5,3
3,5,5,3,5,5,3,4,5,3
4,3,4,4,3,3,3,5,4,4
3,4,5,3,5,4,5,4,5,5
5,3,3,4,5,3,4,3,5,5
4,5,5,4,4,3,4,5,4,4
4,3,3,4,3,5,5,5,3,5
4,4,3,3,5,3,5,4,3,5
3,5,4,5,4,5,3,3,5,5
4,3,3,5,5,4,5,4,5,4
5,5,4,3,5,5,3,4,5,4
3,3,4,3,3,4,3,3,3,5
